Unnamed: 0,road_name,connections,direction,lat_start,lat_end,lon_start,lon_end,feeding_roads,type
1618,A44/Woodstock Road,A44/Woodstock Road1618,+,51.79772,51.79401,-1.28282,-1.28613,,road
1619,A44/Woodstock Road,A44/Woodstock Road1619,+,51.79401,51.79244,-1.28613,-1.28738,1618,road
1620,A44/Woodstock Road,A44/Woodstock Road1620,+,51.79244,51.79168,-1.28738,-1.28818,1619,road
1956,A34 at Wolvercote,A34 at Wolvercote1956,-,51.79808,51.79748,-1.28339,-1.28455,,road
1957,A34 at Wolvercote,A34 at Wolvercote1957,-,51.79748,51.79709,-1.28455,-1.286,1956,road
1958,A34 at Wolvercote,A34 at Wolvercote1958,-,51.79709,51.79686,-1.286,-1.28721,1957,joint
1959,A34 at Wolvercote,A34 at Wolvercote1959,-,51.79686,51.79681,-1.28721,-1.28726,"[1179,1958]",roundabout
1960,A34 at Wolvercote,A34 at Wolvercote1960,-,51.79681,51.79681,-1.28726,-1.28756,"[1228,1959]",roundabout
1961,A34 at Wolvercote,A34 at Wolvercote1961,+,51.79681,51.79683,-1.28756,-1.28759,1960,roundabout
1962,A34 at Wolvercote,A34 at Wolvercote1962,+,51.79683,51.79704,-1.28759,-1.28746,1961,roundabout
1963,A34 at Wolvercote,A34 at Wolvercote1963,+,51.79704,51.79704,-1.28746,-1.28735,1962,roundabout
1964,Kidlington,Kidlington1964,+,51.79704,51.79719,-1.28735,-1.28627,1963,road
