,model,pre_len,mse,mae,r2,precipitationIntensity,temperature,humidity,weatherCode
2021-07-09 15:25:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:30:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:35:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:40:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:45:00,,,,,,0.0,20.81,59.0,Mostly Sunny
2021-07-09 15:50:00,,,,,,0.0,20.87333333,57.66666667,Mostly Sunny
2021-07-09 15:55:00,,,,,,0.0,20.93666667,56.33333333,Mostly Sunny
2021-07-09 16:00:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:05:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:10:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:15:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:20:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:25:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:30:00,,,,,,0.0,21.0,55.0,Mostly Sunny
2021-07-09 16:35:00,,,,,,0.0,20.93666667,55.33333333,Mostly Sunny
2021-07-09 16:40:00,,,,,,0.0,20.87333333,55.66666667,Mostly Sunny
2021-07-09 16:45:00,,,,,,0.0,20.81,56.0,Mostly Sunny
2021-07-09 16:50:00,,,,,,0.0,20.81,56.0,Mostly Sunny
2021-07-09 16:55:00,,,,,,0.0,20.81,56.0,Mostly Sunny
2021-07-09 17:00:00,,,,,,0.0,20.81,56.0,Mostly Sunny
2021-07-09 17:05:00,,,,,,0.0,20.81,56.0,Mostly Sunny
2021-07-09 17:10:00,,,,,,0.0,20.81,56.0,Mostly Sunny
2021-07-09 17:15:00,,,,,,0.0,20.81,56.0,Partly Cloudy
2021-07-09 17:20:00,,,,,,0.0,20.76666667,56.0,Partly Cloudy
2021-07-09 17:25:00,,,,,,0.0,20.72333333,56.0,Partly Cloudy
2021-07-09 17:30:00,,,,,,0.0,20.68,56.0,Partly Cloudy
2021-07-09 17:35:00,,,,,,0.0,20.41,57.33333333,Partly Cloudy
2021-07-09 17:40:00,,,,,,0.0,20.14,58.66666667,Partly Cloudy
2021-07-09 17:45:00,,,,,,0.0,19.87,60.0,Mostly Sunny
2021-07-09 17:50:00,,,,,,0.0,19.87,60.0,Mostly Sunny
2021-07-09 17:55:00,,,,,,0.0,19.87,60.0,Mostly Sunny
2021-07-09 18:00:00,,,,,,0.0,19.87,60.0,Cloudy
2021-07-09 18:05:00,,,,,,0.0,19.87,60.0,Cloudy
2021-07-09 18:10:00,,,,,,0.0,19.87,60.0,Cloudy
2021-07-09 18:15:00,,,,,,0.0,19.87,60.0,Cloudy
2021-07-09 18:20:00,,,,,,0.0,19.80666667,60.0,Cloudy
2021-07-09 18:25:00,,,,,,0.0,19.74333333,60.0,Cloudy
2021-07-09 18:30:00,,,,,,0.0,19.68,60.0,Cloudy
2021-07-09 18:35:00,,,,,,0.0,19.28666667,62.33333333,Cloudy
2021-07-09 18:40:00,,,,,,0.0,18.89333333,64.66666667,Cloudy
2021-07-09 18:45:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 18:50:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 18:55:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 19:00:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 19:05:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 19:10:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 19:15:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 19:20:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 19:25:00,,,,,,0.0,18.5,67.0,Cloudy
2021-07-09 19:30:00,,,,,,0.0,18.5,67.0,Partly Cloudy
2021-07-09 19:35:00,,,,,,0.0,18.04,69.33333333,Partly Cloudy
2021-07-09 19:40:00,,,,,,0.0,17.58,71.66666667,Partly Cloudy
2021-07-09 19:45:00,,,,,,0.0,17.12,74.0,Mostly Cloudy
2021-07-09 19:50:00,,,,,,0.0,17.12,74.0,Mostly Cloudy
2021-07-09 19:55:00,,,,,,0.0,17.12,74.0,Mostly Cloudy
2021-07-09 20:00:00,,,,,,0.0,17.12,74.0,Cloudy
2021-07-09 20:05:00,,,,,,0.0,17.12,74.0,Cloudy
2021-07-09 20:10:00,,,,,,0.0,17.12,74.0,Cloudy
2021-07-09 20:15:00,,,,,,0.0,17.12,74.0,Cloudy
2021-07-09 20:20:00,,,,,,0.0,17.12,74.0,Cloudy
2021-07-09 20:25:00,,,,,,0.0,17.12,74.0,Cloudy
2021-07-09 20:30:00,,,,,,0.0,17.12,74.0,Cloudy
2021-07-09 20:35:00,,,,,,0.0,16.78666667,76.0,Cloudy
2021-07-09 20:40:00,,,,,,0.0,16.45333333,78.0,Cloudy
2021-07-09 20:45:00,,,,,,0.0,16.12,80.0,Partly Cloudy
2021-07-09 20:50:00,,,,,,0.0,16.12,80.0,Partly Cloudy
2021-07-09 20:55:00,,,,,,0.0,16.12,80.0,Partly Cloudy
2021-07-09 21:00:00,,,,,,0.0,16.12,80.0,Mostly Sunny
2021-07-09 21:05:00,,,,,,0.0,16.08,80.0,Mostly Sunny
2021-07-09 21:10:00,,,,,,0.0,16.04,80.0,Mostly Sunny
2021-07-09 21:15:00,,,,,,0.0,16.0,80.0,Cloudy
2021-07-09 21:20:00,,,,,,0.0,16.0,80.0,Cloudy
2021-07-09 21:25:00,,,,,,0.0,16.0,80.0,Cloudy
2021-07-09 21:30:00,,,,,,0.0,16.0,80.0,Cloudy
2021-07-09 21:35:00,,,,,,0.0,16.0,80.0,Cloudy
2021-07-09 21:40:00,,,,,,0.0,16.0,80.0,Cloudy
2021-07-09 21:45:00,,,,,,0.0,16.0,80.0,Cloudy
