,lr_5min,lstm_5min,tgcn_5min,tgcn_wx_5min,lr_15min,lstm_15min,tgcn_15min,tgcn_wx_15min,lr_30min,lstm_30min,tgcn_30min,tgcn_wx_30min,lr_60min,lstm_60min,tgcn_60min,tgcn_wx_60min
2021-07-09 09:40:00,0.045207437000000024,0.04390843800000001,0.04435824600000001,0.040780391142857156,,,,,,,,,,,,
2021-07-09 09:45:00,0.021353241,0.021222792142857147,0.020899781857142846,0.026452156000000004,,,,,,,,,,,,
2021-07-09 09:50:00,0.025612313285714297,0.02891313757142856,0.026870535571428565,0.02767838628571427,0.0379588112857143,0.03628576585714286,0.04424839157142857,0.03098258914285713,,,,,,,,
2021-07-09 09:55:00,0.04410891657142858,0.04058554742857143,0.04555108414285715,0.03737923314285714,0.04656483685714287,0.04954967300000001,0.048469710428571434,0.039040751,,,,,,,,
2021-07-09 10:00:00,0.029791036142857153,0.02531662842857142,0.029100058571428576,0.023122903857142864,0.05513120914285714,0.054290761142857136,0.060287538857142844,0.037388909,,,,,,,,
2021-07-09 10:05:00,0.02181582728571427,0.02699710728571429,0.026505594571428575,0.02776015942857142,0.052758114,0.04681095585714285,0.05784227071428571,0.037317666,0.056093584142857124,0.035016062571428565,0.04810806714285714,0.04099779857142857,,,,
2021-07-09 10:10:00,0.03485269542857143,0.03652842599999999,0.03155835185714286,0.031335961428571424,0.036489560285714276,0.030800984428571435,0.03393733228571429,0.031345203714285695,0.040676086571428585,0.03645869385714284,0.034785599714285735,0.029785975714285717,,,,
2021-07-09 10:15:00,0.05196321914285712,0.05534005828571428,0.050718003714285725,0.05429406814285715,0.07189544142857142,0.061710271571428596,0.06503456857142857,0.06333086442857146,0.07305727185714286,0.07301100271428573,0.06841175642857145,0.06457052557142859,,,,
2021-07-09 10:20:00,0.04474596314285717,0.041688483,0.04370683514285715,0.048385972571428564,0.052183532857142834,0.042594566857142836,0.044951066285714276,0.0418843,0.04447633914285711,0.04762840871428571,0.040576882714285695,0.04316415642857141,,,,
2021-07-09 10:25:00,0.032639483285714296,0.041756011,0.03303607628571428,0.037093804,0.04247862128571428,0.04617940599999999,0.04974737585714285,0.04218198342857143,0.050956965428571435,0.03947921985714285,0.04648291657142856,0.045037033000000004,,,,
2021-07-09 10:30:00,0.03092265214285712,0.03221877614285714,0.031079592714285717,0.0352160157142857,0.04190640057142856,0.04364278157142855,0.03986619628571429,0.037808175428571414,0.0422392477142857,0.030721738571428566,0.03647459171428571,0.036687230999999994,,,,
2021-07-09 10:35:00,0.03390778785714287,0.040930888571428584,0.03993780928571428,0.04252666000000001,0.053969511714285705,0.05645462842857144,0.056601159142857155,0.04588050214285716,0.045454245714285725,0.037458552428571434,0.043681387428571444,0.04426383085714288,0.06347110457142861,0.055249292428571434,0.0484773542857143,0.04868573000000001
2021-07-09 10:40:00,0.0402330235714286,0.030666849714285734,0.02924339242857144,0.02574352342857144,0.04372915085714287,0.03356191614285716,0.04004825200000002,0.034078361857142865,0.04770627400000002,0.036192906285714296,0.035119524571428584,0.03444241100000001,0.05452289757142863,0.04699769471428573,0.05340347871428573,0.04234943085714288
2021-07-09 10:45:00,0.04513280042857143,0.04882655685714284,0.047048053285714264,0.05048186714285713,0.044200820714285695,0.04395015228571429,0.042206772285714275,0.042137488,0.04809087214285714,0.039377310714285726,0.041775765142857135,0.045119889,0.053478453428571444,0.051964564142857154,0.05489405442857145,0.04066434442857141
2021-07-09 10:50:00,0.03457475557142859,0.03084500657142857,0.037507817571428556,0.03167634328571427,0.03594547985714287,0.040233727428571404,0.04052950514285713,0.03575064657142856,0.04030278000000002,0.036757886571428554,0.039427404714285706,0.03964408928571428,0.04265553500000001,0.03763232328571429,0.04803180942857144,0.03313175485714285
2021-07-09 10:55:00,0.028274381857142847,0.03092210714285713,0.027896145714285715,0.026088807714285688,0.033775190571428575,0.0365869787142857,0.03355623728571429,0.03217819771428571,0.04425097328571426,0.03594253357142858,0.03258916571428571,0.03282386142857142,0.04393456757142858,0.034602250285714294,0.03694310957142858,0.03596479485714285
2021-07-09 11:00:00,0.036101931999999996,0.043704153428571424,0.036910594285714284,0.03659050214285713,0.05178081457142859,0.05029920114285714,0.05312289642857143,0.04998268157142855,0.05955662828571427,0.05238004814285714,0.0514097557142857,0.05181674114285714,0.06155759199999999,0.055202470428571425,0.05247258428571428,0.05307160699999998
2021-07-09 11:05:00,0.021677465571428595,0.03318671185714285,0.022055317,0.022355123285714294,0.04443671714285715,0.03942184942857144,0.03853264928571428,0.03940786271428572,0.047253714000000016,0.041675662714285716,0.03788390257142858,0.04174166400000002,0.048917403857142897,0.03869600757142858,0.03797517428571429,0.04284474414285716
2021-07-09 11:10:00,0.03062456557142857,0.04073579414285712,0.03265056857142857,0.037378255428571414,0.04883558742857142,0.04414419199999999,0.04662379442857142,0.04475595785714285,0.05019745542857142,0.046291164999999995,0.04506618314285712,0.04482184785714284,0.053674813714285716,0.047818770428571425,0.04312551599999998,0.053577441428571425
2021-07-09 11:15:00,0.03368783600000002,0.031795810142857144,0.027358942571428575,0.02911673257142858,0.03826227228571429,0.03155415600000001,0.03907372800000001,0.028541095,0.030382771714285717,0.031585561,0.028038715999999995,0.027152197,0.035514440571428586,0.03043319557142859,0.028462473714285716,0.033563918857142855
2021-07-09 11:20:00,0.046432091714285716,0.03889887014285716,0.04415409614285715,0.04609993828571429,0.051029737571428604,0.049438987142857146,0.045172951000000024,0.04379704957142858,0.03980833628571427,0.038238459142857145,0.042993441999999986,0.04585421300000002,0.045001426571428575,0.039998663714285725,0.048127792428571445,0.04006630671428571
2021-07-09 11:25:00,0.04403428742857141,0.04233319142857141,0.04265122185714284,0.039814915857142835,0.04666486499999999,0.04709750085714284,0.050582657571428574,0.04334897014285713,0.04166949957142857,0.04137309528571428,0.03809419714285713,0.04300447914285714,0.041087478142857126,0.04254474014285713,0.047611399714285706,0.03885430199999998
