,Unnamed: 0,road_name,direction,lats,lons,sp,su,ffs,jf,loni,lati,lat_start,lat_end,lon_start,lon_end
21,1217,Wolvercote,-,"[51.79278, 51.79294, 51.79307, 51.79331]","[-1.28423, -1.28431, -1.28439, -1.28455]",49.0,49.0,52.0,0.0,"[-1.28423, -1.28431, -1.28439, -1.28455]","[51.79278, 51.79294, 51.79307, 51.79331]",51.79278,51.79331,-1.28423,-1.28455
22,1218,Wolvercote,-,"[51.79331, 51.79352]","[-1.28455, -1.28468]",49.0,49.0,52.0,0.0,"[-1.28455, -1.28468]","[51.79331, 51.79352]",51.79331,51.79352,-1.28455,-1.28468
23,1219,Wolvercote,-,"[51.79352, 51.79363, 51.79372, 51.7938, 51.79387]","[-1.28468, -1.28477, -1.28486, -1.28498, -1.28511]",49.0,49.0,52.0,0.0,"[-1.28468, -1.28477, -1.28486, -1.28498, -1.28511]","[51.79352, 51.79363, 51.79372, 51.7938, 51.79387]",51.79352,51.79387,-1.28468,-1.28511
24,1220,Wolvercote,-,"[51.79387, 51.79394, 51.79399]","[-1.28511, -1.28526, -1.28542]",49.0,49.0,52.0,0.0,"[-1.28511, -1.28526, -1.28542]","[51.79387, 51.79394, 51.79399]",51.79387,51.79399,-1.28511,-1.28542
25,1221,Wolvercote,-,"[51.79399, 51.79397]","[-1.28542, -1.28554]",49.0,49.0,52.0,0.0,"[-1.28542, -1.28554]","[51.79399, 51.79397]",51.79399,51.79397,-1.28542,-1.28554
26,1222,Wolvercote,-,"[51.79397, 51.79396, 51.79397, 51.79401, 51.79403, 51.79405, 51.79408, 51.79416, 51.79424]","[-1.28554, -1.28575, -1.28591, -1.28613, -1.28621, -1.28628, -1.28636, -1.28652, -1.2866]",49.0,49.0,52.0,0.0,"[-1.28554, -1.28575, -1.28591, -1.28613, -1.28621, -1.28628, -1.28636, -1.28652, -1.2866]","[51.79397, 51.79396, 51.79397, 51.79401, 51.79403, 51.79405, 51.79408, 51.79416, 51.79424]",51.79397,51.79424,-1.28554,-1.2866
27,1223,Wolvercote,-,"[51.79424, 51.79432, 51.79438, 51.79446, 51.79452]","[-1.2866, -1.28663, -1.28665, -1.28667, -1.28667]",49.0,49.0,52.0,0.0,"[-1.2866, -1.28663, -1.28665, -1.28667, -1.28667]","[51.79424, 51.79432, 51.79438, 51.79446, 51.79452]",51.79424,51.79452,-1.2866,-1.28667
28,1224,Wolvercote,-,"[51.79452, 51.79496]","[-1.28667, -1.28703]",49.0,49.0,56.0,0.77154,"[-1.28667, -1.28703]","[51.79452, 51.79496]",51.79452,51.79496,-1.28667,-1.28703
29,1225,Wolvercote,-,"[51.79496, 51.79514]","[-1.28703, -1.28717]",49.0,49.0,56.0,0.77154,"[-1.28703, -1.28717]","[51.79496, 51.79514]",51.79496,51.79514,-1.28703,-1.28717
30,1226,Wolvercote,-,"[51.79514, 51.79525, 51.79547]","[-1.28717, -1.28725, -1.28742]",49.0,49.0,56.0,0.77154,"[-1.28717, -1.28725, -1.28742]","[51.79514, 51.79525, 51.79547]",51.79514,51.79547,-1.28717,-1.28742
31,1227,Wolvercote,-,"[51.79547, 51.79568, 51.79587, 51.79608, 51.79626, 51.7964, 51.79653]","[-1.28742, -1.28755, -1.28762, -1.28765, -1.28764, -1.28761, -1.28757]",49.0,49.0,56.0,0.77154,"[-1.28742, -1.28755, -1.28762, -1.28765, -1.28764, -1.28761, -1.28757]","[51.79547, 51.79568, 51.79587, 51.79608, 51.79626, 51.7964, 51.79653]",51.79547,51.79653,-1.28742,-1.28757
32,1228,Wolvercote,-,"[51.79653, 51.79665, 51.79672, 51.79681]","[-1.28757, -1.28754, -1.28755, -1.28756]",49.0,49.0,56.0,0.77154,"[-1.28757, -1.28754, -1.28755, -1.28756]","[51.79653, 51.79665, 51.79672, 51.79681]",51.79653,51.79681,-1.28757,-1.28756
33,1229,Wolvercote,-,"[51.79681, 51.79683]","[-1.28756, -1.28759]",49.0,49.0,56.0,0.77154,"[-1.28756, -1.28759]","[51.79681, 51.79683]",51.79681,51.79683,-1.28756,-1.28759
34,1230,Bladon,-,"[51.79683, 51.79719]","[-1.28759, -1.28802]",65.0,65.0,70.0,0.6016600000000001,"[-1.28759, -1.28802]","[51.79683, 51.79719]",51.79683,51.79719,-1.28759,-1.28802
35,1231,Bladon,-,"[51.79719, 51.79751]","[-1.28802, -1.28848]",65.0,65.0,70.0,0.6016600000000001,"[-1.28802, -1.28848]","[51.79719, 51.79751]",51.79719,51.79751,-1.28802,-1.28848
36,1493,A34 NORTHBOUND,-,"[51.7935, 51.79389, 51.79408, 51.79423, 51.79438, 51.79454, 51.79469, 51.79481, 51.79496]","[-1.28709, -1.28694, -1.28688, -1.28685, -1.28684, -1.28686, -1.28691, -1.28696, -1.28703]",50.0,50.0,60.0,0.878,"[-1.28709, -1.28694, -1.28688, -1.28685, -1.28684, -1.28686, -1.28691, -1.28696, -1.28703]","[51.7935, 51.79389, 51.79408, 51.79423, 51.79438, 51.79454, 51.79469, 51.79481, 51.79496]",51.7935,51.79496,-1.28709,-1.28703
37,1494,A34 NORTHBOUND,-,"[51.79172, 51.79207, 51.79242, 51.79292]","[-1.28832, -1.28809, -1.28782, -1.28748]",73.0,73.0,67.0,0.0,"[-1.28832, -1.28809, -1.28782, -1.28748]","[51.79172, 51.79207, 51.79242, 51.79292]",51.79172,51.79292,-1.28832,-1.28748
38,1495,A34 NORTHBOUND,-,"[51.79292, 51.79338, 51.7935]","[-1.28748, -1.28717, -1.28709]",73.0,73.0,67.0,0.0,"[-1.28748, -1.28717, -1.28709]","[51.79292, 51.79338, 51.7935]",51.79292,51.7935,-1.28748,-1.28709
39,1496,A34 NORTHBOUND,-,"[51.7935, 51.79392, 51.79416, 51.79424]","[-1.28709, -1.2868, -1.28665, -1.2866]",73.0,73.0,67.0,0.0,"[-1.28709, -1.2868, -1.28665, -1.2866]","[51.7935, 51.79392, 51.79416, 51.79424]",51.7935,51.79424,-1.28709,-1.2866
40,1497,A44/WOODSTOCK ROAD EASTBOUND,-,"[51.79514, 51.79539, 51.79565, 51.79619, 51.79628]","[-1.28609, -1.28579, -1.28551, -1.28493, -1.28484]",74.0,74.0,76.0,0.0,"[-1.28609, -1.28579, -1.28551, -1.28493, -1.28484]","[51.79514, 51.79539, 51.79565, 51.79619, 51.79628]",51.79514,51.79628,-1.28609,-1.28484
41,1498,A44/WOODSTOCK ROAD EASTBOUND,-,"[51.79628, 51.79651, 51.79681, 51.79709, 51.79742, 51.79768]","[-1.28484, -1.28459, -1.28424, -1.28389, -1.28347, -1.28309]",74.0,74.0,76.0,0.0,"[-1.28484, -1.28459, -1.28424, -1.28389, -1.28347, -1.28309]","[51.79628, 51.79651, 51.79681, 51.79709, 51.79742, 51.79768]",51.79628,51.79768,-1.28484,-1.28309
42,1499,A44/WOODSTOCK ROAD,-,"[51.79397, 51.79379, 51.79364, 51.79344, 51.79319, 51.79291, 51.79262]","[-1.28554, -1.28576, -1.28593, -1.2861, -1.28631, -1.28657, -1.28687]",53.0,53.0,65.0,0.96624,"[-1.28554, -1.28576, -1.28593, -1.2861, -1.28631, -1.28657, -1.28687]","[51.79397, 51.79379, 51.79364, 51.79344, 51.79319, 51.79291, 51.79262]",51.79397,51.79262,-1.28554,-1.28687
