,gcn_activation,gc_layer_size,lstm_activation,lstm_layer_size,mse,mae,r2
0,relu,5,relu,100,0.0047487360425293446,0.04791628196835518,0.8567679152182587
1,relu,5,relu,200,0.004806813318282366,0.0488935187458992,0.8551385409484875
2,relu,5,relu,300,0.005091842729598284,0.04866857826709747,0.8447265456203009
3,relu,10,relu,100,0.004841920454055071,0.048681385815143585,0.8534950175870704
4,relu,10,relu,200,0.004978668875992298,0.049262430518865585,0.8509418892772712
5,relu,10,relu,300,0.004749472253024578,0.047356054186820984,0.8540209217002886
6,relu,15,relu,100,0.004835867322981358,0.04817505180835724,0.8521713678566499
7,relu,15,relu,200,0.005038912873715162,0.04858981445431709,0.8478047059255931
8,relu,15,relu,300,0.0048063453286886215,0.047864172607660294,0.8525795206210934
9,relu,5,tanh,100,0.004863854963332415,0.048342566937208176,0.8511823351371979
10,relu,5,tanh,200,0.005077242851257324,0.049346644431352615,0.8464308629738555
11,relu,5,tanh,300,0.004830218385905027,0.04834631830453873,0.8529471008471395
12,relu,10,tanh,100,0.004831695929169655,0.048112429678440094,0.8522887488464531
13,relu,10,tanh,200,0.00512238685041666,0.04911709949374199,0.8432305854025886
14,relu,10,tanh,300,0.004946446977555752,0.04852170869708061,0.8526226140031296
15,relu,15,tanh,100,0.0047086142003536224,0.047614358365535736,0.8575300987881699
16,relu,15,tanh,200,0.004742093849927187,0.04778716713190079,0.860305497663646
17,relu,15,tanh,300,0.004932925570756197,0.04850304126739502,0.850122529347879
18,relu,5,linear,100,0.005014435853809118,0.048785027116537094,0.8464927706673313
19,relu,5,linear,200,0.005035484209656715,0.0480344332754612,0.8404772394719057
20,relu,5,linear,300,0.004949270747601986,0.04843290522694588,0.8484323877613549
21,relu,10,linear,100,0.0048736222088336945,0.04773881658911705,0.8473142069746683
22,relu,10,linear,200,0.005257925949990749,0.04955345019698143,0.8396648679382704
23,relu,10,linear,300,0.004850460682064295,0.04791148379445076,0.8496726584559302
24,relu,15,linear,100,0.0048228600062429905,0.04756351187825203,0.8504346062517962
25,relu,15,linear,200,0.004903886932879686,0.047766026109457016,0.8459505221724732
26,relu,15,linear,300,0.00485743023455143,0.04784898832440376,0.8527746770798778
27,tanh,5,relu,100,0.004964245017617941,0.04839135333895683,0.8435664175690839
28,tanh,5,relu,200,0.004957591649144888,0.048767171800136566,0.8463630062756312
29,tanh,5,relu,300,0.004764885175973177,0.04760434851050377,0.8521989603000698
30,tanh,10,relu,100,0.004955630749464035,0.048738475888967514,0.845456036500102
31,tanh,10,relu,200,0.004716184455901384,0.04765720292925835,0.8550974705096649
32,tanh,10,relu,300,0.0047772289253771305,0.048278484493494034,0.8574067407305563
33,tanh,15,relu,100,0.004858486354351044,0.048256877809762955,0.8512266895782516
34,tanh,15,relu,200,0.004985994193702936,0.04920259863138199,0.8513620758577778
35,tanh,15,relu,300,0.004820279311388731,0.047935668379068375,0.8498942870052226
36,tanh,5,tanh,100,0.004961495753377676,0.048940472304821014,0.8502076014230865
37,tanh,5,tanh,200,0.0048476820811629295,0.048753123730421066,0.8521777001478515
38,tanh,5,tanh,300,0.0050355661660432816,0.049634918570518494,0.8479974124693676
39,tanh,10,tanh,100,0.004861064720898867,0.04828860983252525,0.8523622370813538
