,data_fusion_activation,gcn_activation,gc_layer_size,lstm_activation,lstm_layer_size,mse,mae,r2
0,linear,linear,5,linear,100,0.004837191663682461,0.04873901233077049,0.8555844499103629
1,relu,linear,5,linear,100,0.005076759494841099,0.04959363117814064,0.8490999000280983
2,tanh,linear,5,linear,100,0.0049446760676801205,0.04897651821374893,0.8516750255846426
