,gcn_activation,gc_layer_size,lstm_activation,lstm_layer_size,mse,mae,r2
0,relu,5,relu,100,0.005419830325990915,0.050441812723875046,0.8341554498824979
1,relu,5,relu,200,0.00555690610781312,0.051191747188568115,0.8324182201176886
2,relu,5,relu,300,0.005430405493825674,0.049544308334589005,0.8310182353670544
3,relu,10,relu,100,0.005468923598527908,0.04990176483988762,0.8299391909916957
4,relu,10,relu,200,0.00596324447542429,0.054089028388261795,0.824704590757593
5,relu,10,relu,300,0.005494588520377874,0.05009042099118233,0.8325378652227523
6,relu,15,relu,100,0.005747328046709299,0.052569616585969925,0.8264404156660525
7,relu,15,relu,200,0.00546729750931263,0.04990155249834061,0.8306551510898159
8,relu,15,relu,300,0.005469815339893103,0.05054697394371033,0.8319149261814208
9,relu,5,tanh,100,0.005693961400538683,0.05089050531387329,0.8242933472752066
10,relu,5,tanh,200,0.005881000310182571,0.05184272676706314,0.8140457264920754
11,relu,5,tanh,300,0.00571361742913723,0.05161119997501373,0.8274362398554742
12,relu,10,tanh,100,0.0054455227218568325,0.049603790044784546,0.8280670598654334
13,relu,10,tanh,200,0.005683146417140961,0.05048029497265816,0.8262106189596744
14,relu,10,tanh,300,0.005523012951016426,0.051082953810691833,0.8324557454921463
15,relu,15,tanh,100,0.0055246553383767605,0.0502256341278553,0.8283606141315035
16,relu,15,tanh,200,0.0058492328971624374,0.05159691721200943,0.8236992131244977
17,relu,15,tanh,300,0.005761811975389719,0.051508769392967224,0.8265983679219843
18,relu,5,linear,100,0.005549565423280001,0.050219591706991196,0.8246432366694926
19,relu,5,linear,200,0.005537716206163168,0.050731223076581955,0.8279282240364778
20,relu,5,linear,300,0.005847177933901548,0.050622597336769104,0.813507014964511
21,relu,10,linear,100,0.005453560035675764,0.05021129548549652,0.8319819332274311
22,relu,10,linear,200,0.0058805570006370544,0.052247971296310425,0.822238734249798
23,relu,10,linear,300,0.005707344505935907,0.050878603011369705,0.8267117672557124
24,relu,15,linear,100,0.005532275419682264,0.050098519772291183,0.8272563948255783
25,relu,15,linear,200,0.005711589474231005,0.051301274448633194,0.8261335059515548
26,relu,15,linear,300,0.005531416740268469,0.0501839742064476,0.8280076706521449
27,tanh,5,relu,100,0.005546195432543755,0.05065011978149414,0.8233740956363382
28,tanh,5,relu,200,0.005514384713023901,0.050313398241996765,0.8247535911481642
29,tanh,5,relu,300,0.006290370598435402,0.05336776375770569,0.8128818154767202
30,tanh,10,relu,100,0.005743870045989752,0.052413418889045715,0.8278366780417287
31,tanh,10,relu,200,0.005548891145735979,0.05025053024291992,0.825157472426811
32,tanh,10,relu,300,0.005635939538478851,0.050700295716524124,0.8271876694092292
33,tanh,15,relu,100,0.005450954660773277,0.05105135962367058,0.8320114450148711
34,tanh,15,relu,200,0.005576434079557657,0.05082325264811516,0.8314207816872344
35,tanh,15,relu,300,0.005651688668876886,0.05039527639746666,0.8214705662627984
36,tanh,5,tanh,100,0.0055926768109202385,0.05025673657655716,0.823369181928515
37,tanh,5,tanh,200,0.005823608487844467,0.051702141761779785,0.8200630558908384
38,tanh,5,tanh,300,0.005754575598984957,0.05148664861917496,0.8223318356998688
39,tanh,10,tanh,100,0.005857839249074459,0.05230499804019928,0.8201193927942472
40,tanh,10,tanh,200,0.005636904388666153,0.05167722702026367,0.8260984186181451
41,tanh,10,tanh,300,0.0055665564723312855,0.05017854645848274,0.823469424401469
42,tanh,15,tanh,100,0.005577090196311474,0.0501607209444046,0.8249293772511431
43,tanh,15,tanh,200,0.0055334847420454025,0.05077914521098137,0.8299568148317815
44,tanh,15,tanh,300,0.005453079007565975,0.050597820430994034,0.8300982440330257
45,tanh,5,linear,100,0.005702953319996595,0.05140598863363266,0.8186273629808667
46,tanh,5,linear,200,0.005883850157260895,0.05219666659832001,0.8217455766522275
47,tanh,5,linear,300,0.005640892777591944,0.05056370049715042,0.8248432841232406
48,tanh,10,linear,100,0.005489705130457878,0.050140976905822754,0.8318170712296762
49,tanh,10,linear,200,0.005568474065512419,0.050937291234731674,0.8293416331428761
50,tanh,10,linear,300,0.005528649780899286,0.05084563046693802,0.8322786425987344
51,tanh,15,linear,100,0.0065443506464362144,0.0569157600402832,0.7993140181550332
52,tanh,15,linear,200,0.00584117928519845,0.05169232189655304,0.816098832428161
53,tanh,15,linear,300,0.00578626524657011,0.05197370424866676,0.8278049580601022
54,linear,5,relu,100,0.005640439689159393,0.051237985491752625,0.8250370767344763
55,linear,5,relu,200,0.0054437387734651566,0.04992935061454773,0.830339739448969
56,linear,5,relu,300,0.0054213982075452805,0.04986726492643356,0.8309030568057946
57,linear,10,relu,100,0.005423229653388262,0.05051521211862564,0.8316102088228544
58,linear,10,relu,200,0.005544387735426426,0.050494901835918427,0.8306123753889598
59,linear,10,relu,300,0.0054775686003267765,0.050747137516736984,0.8322190741433199
60,linear,15,relu,100,0.005417207721620798,0.05044466629624367,0.8362387152951636
61,linear,15,relu,200,0.005623010452836752,0.051793452352285385,0.8340328578315074
62,linear,15,relu,300,0.005580585915595293,0.0510801300406456,0.8319020188296512
63,linear,5,tanh,100,0.0055077048018574715,0.050793200731277466,0.8317215942910019
64,linear,5,tanh,200,0.005896683316677809,0.052118927240371704,0.8251375293560017
65,linear,5,tanh,300,0.005609961226582527,0.05086170509457588,0.826616236040509
66,linear,10,tanh,100,0.005792846903204918,0.05165453255176544,0.8214234408505794
67,linear,10,tanh,200,0.005800320766866207,0.05137859284877777,0.8225033438167428
68,linear,10,tanh,300,0.005462894216179848,0.049976278096437454,0.8352137986259027
69,linear,15,tanh,100,0.005515426862984896,0.05005643889307976,0.8262027715395001
70,linear,15,tanh,200,0.00596312852576375,0.05190654471516609,0.8254303326355706
71,linear,15,tanh,300,0.005820839665830135,0.05075813829898834,0.8295833984546521
72,linear,5,linear,100,0.005673814564943314,0.05111302435398102,0.8203739052096797
73,linear,5,linear,200,0.0056273844093084335,0.05013930797576904,0.8281906788647456
74,linear,5,linear,300,0.00569646991789341,0.05189758911728859,0.8282164491545984
75,linear,10,linear,100,0.005640531424432993,0.0498051643371582,0.8191008751142104
76,linear,10,linear,200,0.0058361925184726715,0.05199611186981201,0.8209230313147736
77,linear,10,linear,300,0.005674535874277353,0.05034254491329193,0.8284949409942048
78,linear,15,linear,100,0.005786323454231024,0.051575906574726105,0.8211824120308002
79,linear,15,linear,200,0.005508303176611662,0.050491802394390106,0.8272714636969475
80,linear,15,linear,300,0.005604882724583149,0.04985738918185234,0.8292157678887389
